,CBR08,CBR08,CBR08,CBR11,CBR11,CBR11,CBR14,CBR14,CBR14,CBR15,CBR15,CBR15,CBR16,CBR16,CBR16,CBR19,CBR19,CBR19,CBR21,CBR21,CBR21,CBR22,CBR22,CBR22,CBR24,CBR24,CBR24,CBR26,CBR26,CBR26,CBR25,CBR25,CBR25,CBR27,CBR27,CBR27,CBR28,CBR28,CBR28,CBR30,CBR30,CBR30,CBR31,CBR31,CBR31
Days,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device,SCO-Device,CBR-Device,KAFO-Device
20,58.2,0,,2.7,39.9,,0,0,,48.8,54.7,42.2,28,69.5,,9.4,0,,0,2.5,54.7,0,1,0,0.6,13.6,45.8,0,43.5,70.6,,48.4,51.1,3.1,0,36.9,0,11.3,10.6,,62.7,0.6,,0,59.5
21,51.5,0,,0,38.5,,0,0,,45.8,51.2,41.9,67,54.3,,0,0,,0,0,53.8,0,22.9,22.2,22.9,24.4,62.9,41.3,36.5,61.9,,3.5,49,0.4,0,39.1,20.6,0,13.2,,73.8,0.6,,0,50.9
22,62.5,0.7,,0,58.9,,0,0,,48.6,47.4,36.3,27.9,72.6,,0,0,,0,2.2,52.1,0,23.1,0,10.9,26.9,38.8,54.4,16.6,66.7,,1.7,54.4,0,0,58.5,0,21.9,22.5,,54,66.5,,29.9,60.2
23,36.5,32.9,,0,52.4,,8.3,0,,46.5,49.2,52.9,42,55.8,,0,0,,1.4,0,0,0,0,0,14.4,13.1,44.7,48.5,0,65.8,,0,47.2,0.8,0,55.2,0,0,20.2,,55.1,49.8,,12.9,58.1
24,9,0.2,,7.8,36,,0,0,,48.1,51.3,37.3,52.6,53.3,,0,0,,0,0,0,0,1,0,25.8,0,33.8,39.9,16,60.8,,0,42.8,0,0,38.4,0,0,0,,55.1,60.4,,4,55.6
25,0,0,,20.8,38.8,,0,,,47.9,62,41.9,27.8,68.9,,0,0,,0,0,0,0,0,0,17.3,8.9,54.2,58.3,0,65.8,,0,50.1,0.2,0,53.8,0,0,0,,0,66,,,63.8
26,46.7,44.7,,16.7,47.2,,,,,49.3,61.3,45.9,48.5,66.3,,0,,,0,2.8,0,0,10.7,0,0,0,39.2,58.5,19.4,39.2,,0,53.1,0,0,40.1,0.6,0,1.1,,66.5,56.8,,,61
27,0,0,,5.4,53.3,,,,,48,56.8,43.5,22.9,67.2,,27.2,,,0,15.1,0,0,21.5,28.9,0,21,44.9,59.4,0,67.1,,0,55.9,11.6,1,43.1,5.6,0,25.6,,72.7,57.5,,,57.2
28,0,0.3,,,18.3,,,,,49.8,46.8,41,40.9,86.3,,15.6,,,0,,0,0,14.2,,32.2,11.4,0,65,17.1,52.8,,0.2,51.4,3.2,0,33.9,0,0,0.6,,72.7,52,,,58.6
29,0,0,,,15.8,,,,,47.9,31.3,61,41.2,60.5,,,,,0,,0,0,0,,24.3,25,41.5,59.4,0,61.7,,42.6,25.4,1.1,0,,44.7,0,0,,17.4,56.7,,,63.1
30,9.1,45.8,,,,,,,,49.7,61.4,54.9,31.4,84,,,,,0,,0,0,9.4,,14.1,,43.3,14.1,33.3,61.4,,0,,0,0,,16.7,0,46,,,22.9,,,56.9
31,,1.4,,,,,,,,46.7,59.2,47.1,35.8,62.5,,,,,12.8,,0,16.4,20.8,,19.6,,41.4,,17.7,58.6,,31.5,,0,0,,8.2,0,,,,,,,41.3
32,,0,,,,,,,,83.1,52.8,41,20.1,88.8,,,,,0,,0,,,,27.9,,47.2,,14.2,71.6,,32.9,,0,0,,,0,,,,,,,56.1
33,,0,,,,,,,,,53.6,46.1,41.4,,,,,,0,,0,,,,6.4,,39.9,,12.2,68,,46.7,,0,11,,,0,,,,,,,63.5
34,,0.5,,,,,,,,,64.4,22.4,,,,,,,2.3,,0,,,,0.6,,,,14.9,28.4,,44.7,,0,0,,,0,,,,,,,33
35,,15.8,,,,,,,,,,,,,,,,,,,0,,,,34.2,,,,,,,24.7,,0,0,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,0,,,,9.3,,,,,,,19.6,,0,0,,,,,,,,,,
